Expiration_date,Strike,Call_or_Put
0.25,90.0,Call
0.25,91.0,Call
0.25,92.0,Call
0.25,93.0,Call
0.25,94.0,Call
0.25,95.0,Call
0.25,96.00000000000001,Call
0.25,97.00000000000001,Call
0.25,98.00000000000001,Call
0.25,99.00000000000001,Call
0.25,100.0,Call
0.25,101.0,Call
0.25,102.0,Call
0.25,103.0,Call
0.25,104.0,Call
0.25,105.0,Call
0.25,106.0,Call
0.25,107.0,Call
0.25,108.0,Call
0.25,109.00000000000001,Call
0.25,110.00000000000001,Call
0.5,90.0,Call
0.5,91.0,Call
0.5,92.0,Call
0.5,93.0,Call
0.5,94.0,Call
0.5,95.0,Call
0.5,96.00000000000001,Call
0.5,97.00000000000001,Call
0.5,98.00000000000001,Call
0.5,99.00000000000001,Call
0.5,100.0,Call
0.5,101.0,Call
0.5,102.0,Call
0.5,103.0,Call
0.5,104.0,Call
0.5,105.0,Call
0.5,106.0,Call
0.5,107.0,Call
0.5,108.0,Call
0.5,109.00000000000001,Call
0.5,110.00000000000001,Call
0.75,90.0,Call
0.75,91.0,Call
0.75,92.0,Call
0.75,93.0,Call
0.75,94.0,Call
0.75,95.0,Call
0.75,96.00000000000001,Call
0.75,97.00000000000001,Call
0.75,98.00000000000001,Call
0.75,99.00000000000001,Call
0.75,100.0,Call
0.75,101.0,Call
0.75,102.0,Call
0.75,103.0,Call
0.75,104.0,Call
0.75,105.0,Call
0.75,106.0,Call
0.75,107.0,Call
0.75,108.0,Call
0.75,109.00000000000001,Call
0.75,110.00000000000001,Call
1.0,90.0,Call
1.0,91.0,Call
1.0,92.0,Call
1.0,93.0,Call
1.0,94.0,Call
1.0,95.0,Call
1.0,96.00000000000001,Call
1.0,97.00000000000001,Call
1.0,98.00000000000001,Call
1.0,99.00000000000001,Call
1.0,100.0,Call
1.0,101.0,Call
1.0,102.0,Call
1.0,103.0,Call
1.0,104.0,Call
1.0,105.0,Call
1.0,106.0,Call
1.0,107.0,Call
1.0,108.0,Call
1.0,109.00000000000001,Call
1.0,110.00000000000001,Call
1.25,90.0,Call
1.25,91.0,Call
1.25,92.0,Call
1.25,93.0,Call
1.25,94.0,Call
1.25,95.0,Call
1.25,96.00000000000001,Call
1.25,97.00000000000001,Call
1.25,98.00000000000001,Call
1.25,99.00000000000001,Call
1.25,100.0,Call
1.25,101.0,Call
1.25,102.0,Call
1.25,103.0,Call
1.25,104.0,Call
1.25,105.0,Call
1.25,106.0,Call
1.25,107.0,Call
1.25,108.0,Call
1.25,109.00000000000001,Call
1.25,110.00000000000001,Call
1.5,90.0,Call
1.5,91.0,Call
1.5,92.0,Call
1.5,93.0,Call
1.5,94.0,Call
1.5,95.0,Call
1.5,96.00000000000001,Call
1.5,97.00000000000001,Call
1.5,98.00000000000001,Call
1.5,99.00000000000001,Call
1.5,100.0,Call
1.5,101.0,Call
1.5,102.0,Call
1.5,103.0,Call
1.5,104.0,Call
1.5,105.0,Call
1.5,106.0,Call
1.5,107.0,Call
1.5,108.0,Call
1.5,109.00000000000001,Call
1.5,110.00000000000001,Call
1.75,90.0,Call
1.75,91.0,Call
1.75,92.0,Call
1.75,93.0,Call
1.75,94.0,Call
1.75,95.0,Call
1.75,96.00000000000001,Call
1.75,97.00000000000001,Call
1.75,98.00000000000001,Call
1.75,99.00000000000001,Call
1.75,100.0,Call
1.75,101.0,Call
1.75,102.0,Call
1.75,103.0,Call
1.75,104.0,Call
1.75,105.0,Call
1.75,106.0,Call
1.75,107.0,Call
1.75,108.0,Call
1.75,109.00000000000001,Call
1.75,110.00000000000001,Call
2.0,90.0,Call
2.0,91.0,Call
2.0,92.0,Call
2.0,93.0,Call
2.0,94.0,Call
2.0,95.0,Call
2.0,96.00000000000001,Call
2.0,97.00000000000001,Call
2.0,98.00000000000001,Call
2.0,99.00000000000001,Call
2.0,100.0,Call
2.0,101.0,Call
2.0,102.0,Call
2.0,103.0,Call
2.0,104.0,Call
2.0,105.0,Call
2.0,106.0,Call
2.0,107.0,Call
2.0,108.0,Call
2.0,109.00000000000001,Call
2.0,110.00000000000001,Call
